short.link,cat,subcat,youtube,youtube_ID,exclude,youtube_uploads_ID,youtube_channel_ID
Indexexpurgatorius.wordpress.com,cvde,,,,,,
JournalistenWatch.com,cvde,,,,,,
News-for-Friends.de,cvde,,,,,,
PolitikVersagen.net,cvde,,,,,,
Pravda-TV.com  ,cvde,,,,,,
Watergate.tv,cvde,,,,,,
livingasintended.com,cvus,,,,,,
healingoracle.ch,cvuk,,,,,,
linktr.ee/holistichealthandmore,cvus,,,,,,
vaccinesrevealed.com,cvus,,,,,,
docofdetox.com,cvus,,,,,,
extremehealthacademy.com,cvus,,,,,,
drkimthor.com,cvus,,,,,,
thehighwire.com,cvus,,,,,,
icandecide.org,cvus,,,,,,
losetheplot.net,cvuk,,,,,,
conspiraciesandsim.wixsite.com,cvus,,,,,,
babyjabs.co.uk,cvuk,,,,,,
freie-impfentscheidung.blogspot.com,cvde,,,,,,
vaxxed2.com,cvus,,,,,,
autismoneconference.com,cvus,,,,,,
healthnutnews.com,cvus,,,,,,
goproject180.com,cvus,,,,,,
childrenshealthdefense.org,cvus,,,,,,
informedparent.co.uk,cvuk,,,,,,
jabs.org.uk,cvuk,,,,,,
arnica.org.uk,cvuk,,,,,,
vaccineriskawareness.com,cvuk,,,,,,
vaccineinjury.uk,cvuk,,,,,,
consent-charity.org.uk,cvuk,,,,,,
sanevax.org,cvuk,,,,,,
jayne-donegan.co.uk,cvuk,,,,,,
collective-evolution.com,cvuk,,,,,,
wodarg.com,cvuk,,,,,,
oye.news,cvuk,,,,,,
